('1024', 'Non-blocking Synchronization', 4, 1394.23, '20/40/40')
('1024', 'Coarse-grain locking', 8, 293.84, '20/40/40')
('1024', 'Fine-grain locking', 8, 492.89, '20/40/40')
('1024', 'Optimistic Synchronization', 8, 862.23, '20/40/40')
('1024', 'Lazy Synchronization', 8, 1703.09, '20/40/40')
('1024', 'Non-blocking Synchronization', 8, 1901.67, '20/40/40')
('1024', 'Coarse-grain locking', 16, 260.88, '20/40/40')
('1024', 'Fine-grain locking', 16, 225.13, '20/40/40')
('1024', 'Optimistic Synchronization', 16, 536.47, '20/40/40')
('1024', 'Lazy Synchronization', 16, 1102.61, '20/40/40')
('1024', 'Non-blocking Synchronization', 16, 1302.23, '20/40/40')
('1024', 'Coarse-grain locking', 32, 417.06, '20/40/40')
('1024', 'Fine-grain locking', 32, 244.58, '20/40/40')
('1024', 'Optimistic Synchronization', 32, 1733.07, '20/40/40')
('1024', 'Lazy Synchronization', 32, 3765.96, '20/40/40')
('1024', 'Non-blocking Synchronization', 32, 4823.99, '20/40/40')
('1024', 'Coarse-grain locking', 64, 142.42, '20/40/40')
('1024', 'Fine-grain locking', 64, 250.51, '20/40/40')
('1024', 'Optimistic Synchronization', 64, 2470.16, '20/40/40')
('1024', 'Lazy Synchronization', 64, 5998.49, '20/40/40')
('1024', 'Non-blocking Synchronization', 64, 8507.27, '20/40/40')
('1024', 'Coarse-grain locking', 128, 133.91, '20/40/40')
('1024', 'Fine-grain locking', 128, 4.19, '20/40/40')
('1024', 'Optimistic Synchronization', 128, 213.83, '20/40/40')
('1024', 'Lazy Synchronization', 128, 341.47, '20/40/40')
('1024', 'Non-blocking Synchronization', 128, 5220.22, '20/40/40')
('1024', 'Serial', 1, 1405.65, '0/50/50')
('1024', 'Coarse-grain locking', 1, 1382.37, '0/50/50')
('1024', 'Fine-grain locking', 1, 373.45, '0/50/50')
('1024', 'Optimistic Synchronization', 1, 839.06, '0/50/50')
('1024', 'Lazy Synchronization', 1, 1330.24, '0/50/50')
('1024', 'Non-blocking Synchronization', 1, 1348.8, '0/50/50')
('1024', 'Coarse-grain locking', 2, 1270.07, '0/50/50')
('1024', 'Fine-grain locking', 2, 230.73, '0/50/50')
('1024', 'Optimistic Synchronization', 2, 760.65, '0/50/50')
('1024', 'Lazy Synchronization', 2, 1247.98, '0/50/50')
('1024', 'Non-blocking Synchronization', 2, 1480.84, '0/50/50')
('1024', 'Coarse-grain locking', 4, 729.69, '0/50/50')
('1024', 'Fine-grain locking', 4, 319.86, '0/50/50')
('1024', 'Optimistic Synchronization', 4, 643.25, '0/50/50')
('1024', 'Lazy Synchronization', 4, 1200.48, '0/50/50')
('1024', 'Non-blocking Synchronization', 4, 1371.77, '0/50/50')
('1024', 'Coarse-grain locking', 8, 303.52, '0/50/50')
